"Client Entity","Strategic Initiative","Consulting Firm","Key KPI","Baseline Performance","Strategic Context & Pain Points","Target State","Investment Estimation","Implementation Risk"
"Astra International","EV Ecosystem Readiness","Inixindo Jogja","Charging Points","50 Stations","Need to support Toyota/Lexus EV rollout to overcome range anxiety.","500 Stations","$40,000,000","Grid partnership with PLN"
"United Tractors","Mining Safety AI","Inixindo Jogja","Accident Rate","0.5/Year","Manual monitoring insufficient for 24/7 autonomous hauling.","Zero Incidents","$12,000,000","AI model accuracy in rain/dust"
"Adaro Energy","Green Aluminium Smelter","Inixindo Jogja","Carbon Intensity","High (Coal)","Buyers demand low-carbon aluminium; current power is coal-based.","Low Carbon Cert","$1,000,000,000","Green financing access"
"Aneka Tambang (ANTAM)","Nickel Downstreaming","Inixindo Jogja","Battery Grade Purity","98.5%","Pressure to move up EV value chain; need HPAL technology.","99.9%","$150,000,000","Waste management (tailings)"
"Vale Indonesia","Sustainable Mining Operations","Inixindo Jogja","Water Recycling Rate","60%","Environmental scrutiny requires higher sustainability standards.","85%","$20,000,000","Community relations"
"Indofood CBP","Global Market Expansion","Inixindo Jogja","Export Revenue %","10%","Domestic saturation; need to penetrate Middle East/Africa with localized flavors.","20%","$10,000,000","Supply chain complexity"
"Mayora Indah","Digital Logistics Tracking","Inixindo Jogja","Delivery Lead Time","7 Days","Lack of real-time visibility on export shipments.","3 Days","$2,500,000","Integration with shipping lines"
"Kalbe Farma","R&D Data Analytics","Inixindo Jogja","Drug Discovery Time","5 Years","Lengthy clinical trials; need AI to simulate molecule interactions.","3 Years","$12,000,000","Talent scarcity in biotech AI"
"Bio Farma","Vaccine Distribution Blockchain","Inixindo Jogja","Cold Chain Integrity","90%","Risk of spoilage during distribution to remote islands.","99.9%","$20,000,000","IoT sensor battery life"
"Kimia Farma","Telemedicine Integration","Inixindo Jogja","Online Sales Mix","5%","Offline pharmacies losing traffic; need app integration.","25%","$6,000,000","Regulatory compliance"
"Semen Indonesia (SIG)","Green Cement Production","Inixindo Jogja","Clinker Factor","75%","High emissions; need alternative fuels and materials.","65%","$50,000,000","Product strength quality control"
"Krakatau Steel","Industry 4.0 Digital Factory","Inixindo Jogja","OEE (Efficiency)","70%","Legacy machinery lacks sensors, causing unplanned downtime.","85%","$25,000,000","OT Cybersecurity"
"Bluebird Group","MaaS (Mobility as a Service)","Inixindo Jogja","Digital Booking %","30%","Competition from ride-hailing; need to integrate taxi/rental/shuttle.","60%","$4,000,000","Driver adoption"
"Kereta Api Indonesia (KAI)","Freight Digitization","Inixindo Jogja","Cargo Tracking","Manual","Revenue loss due to inefficient wagon utilization.","Real-time GPS","$10,000,000","Signal blind spots"
"Pelindo","Smart Port Automation","Inixindo Jogja","Dwell Time","4.5 Days","Port congestion reduces logistics competitiveness.","2.5 Days","$75,000,000","Labor union resistance"
"Angkasa Pura II","Biometric Boarding","Inixindo Jogja","Passenger Flow","15 pax/min","Long queues at security and boarding gates.","30 pax/min","$15,000,000","Privacy concerns"
"Waskita Karya","Financial Restructuring","Inixindo Jogja","Debt-to-Equity","High","Liquidity issues affecting project completion.","Sustainable","$5,000,000","Creditor agreement"
"Wijaya Karya (WIKA)","Smart City Construction","Inixindo Jogja","Green Building Cert","Level 1","Demand for sustainable infrastructure in new capital (IKN).","Platinum","$8,000,000","Green material supply chain"
"Alfamart","Omnichannel Inventory","Inixindo Jogja","Stock Accuracy","85%","Discrepancy between app and store stock causes cancellations.","98%","$7,000,000","POS system integration"
"Indomaret","Loyalty Superapp","Inixindo Jogja","Repeat Purchase Rate","2x/Week","Customers switch based on price; need sticky ecosystem.","4x/Week","$5,500,000","App UI complexity"
"Erajaya","O2O Experience","Inixindo Jogja","Conversion Rate","10%","Customers research online but buy offline without data link.","30%","$4,000,000","Data silos"
"HM Sampoerna","Digital Traceability","Inixindo Jogja","Farmer Productivity","1.2 Ton/Ha","Need to ensure tobacco sustainability and quality.","1.5 Ton/Ha","$10,000,000","Farmer digital literacy"
"Gudang Garam","Automated Warehousing","Inixindo Jogja","Dispatch Speed","4 Hours","Manual loading creates bottlenecks in peak season.","1 Hour","$18,000,000","Workforce reduction management"
"Media Nusantara Citra (MNC)","OTT Platform Growth","Inixindo Jogja","Subscriber Growth","5% QoQ","Linear TV revenue declining; need to accelerate Vision+.","15% QoQ","$20,000,000","Content licensing costs"
"Emtek (SCTV/Indosiar)","Digital Ad Tech","Inixindo Jogja","Ad Revenue Yield","Low","Need better programmatic targeting for digital inventory.","High","$12,000,000","Data privacy laws"
"Cimory","Cold Chain IoT","Inixindo Jogja","Spoilage Rate","3%","Temperature fluctuations in distribution affect milk quality.","<0.5%","$5,000,000","Device maintenance"
"Kopi Kenangan","International Market Entry","Inixindo Jogja","Stores Abroad","10","Need standard operating model for rapid regional expansion.","100","$15,000,000","Local taste adaptation"
"J&T Express","Last Mile AI Optimization","Inixindo Jogja","Delivery Cost","Rp 5k/pkg","Inefficient routing increases fuel and time costs.","Rp 3.5k/pkg","$20,000,000","Courier behavior change"
